39.68409,-75.520592:39.648178,-75.553413:1.0
39.727699,-75.503487:39.726601,-75.503883:1.0
39.703918,-75.511513:39.704079,-75.511429:1.0
39.693298,-75.516457:39.693668,-75.516319:1.0
39.799881,-75.42495:39.800079,-75.424637:1.0
39.799881,-75.419731:39.80003,-75.419418:1.0
39.799881,-75.421158:39.799622,-75.422287:1.0
39.799881,-75.411079:39.79987,-75.411087:1.0
39.799881,-75.425659:39.80014,-75.425117:0.5
39.799881,-75.425659:39.80032,-75.424713:0.5
39.799881,-75.411011:39.799881,-75.410988:1.0
39.799881,-75.425323:39.800098,-75.424858:1.0
39.799881,-75.42598:39.800121,-75.425377:1.0
39.799881,-75.411903:39.799889,-75.411903:1.0
39.799881,-75.41188:39.799881,-75.411873:1.0
39.799881,-75.415466:39.799881,-75.415466:0.5
39.799881,-75.415466:39.799911,-75.415451:0.5
39.799881,-75.410873:39.799889,-75.410843:1.0
39.799881,-75.411873:39.799889,-75.411873:0.5
39.799881,-75.411873:39.799911,-75.411842:0.5
39.799881,-75.426086:39.800411,-75.424889:1.0
39.799881,-75.412064:39.7999,-75.411972:1.0
39.799881,-75.412773:39.799999,-75.412369:1.0
39.799881,-75.411911:39.799881,-75.411911:0.666666666667
39.799881,-75.411911:39.799889,-75.411919:0.333333333333
39.799881,-75.410896:39.799881,-75.410873:1.0
39.799881,-75.426331:39.800098,-75.425827:1.0
39.799881,-75.411888:39.799881,-75.411888:0.8
39.799881,-75.411888:39.799881,-75.411903:0.2
39.799881,-75.410988:39.799881,-75.410896:1.0
39.727341,-75.502327:39.739731,-75.49649:1.0
39.727348,-75.502831:39.726059,-75.503288:1.0
39.790569,-75.445717:39.79071,-75.445442:1.0
39.790569,-75.446083:39.79105,-75.445107:1.0
39.790569,-75.445267:39.790829,-75.444733:1.0
39.780628,-75.461601:39.781071,-75.460999:1.0
39.780628,-75.460907:39.788319,-75.449471:1.0
39.816029,-75.392693:39.816311,-75.392113:1.0
39.816029,-75.394402:39.80751,-75.413109:1.0
39.816029,-75.394531:39.81575,-75.395126:1.0
39.816029,-75.393806:39.81554,-75.394753:1.0
39.816029,-75.391922:39.81625,-75.391502:1.0
39.816029,-75.389648:39.815899,-75.389717:1.0
39.816029,-75.389099:39.817081,-75.38765:1.0
39.816029,-75.393173:39.816422,-75.392319:1.0
39.693741,-75.515472:39.707611,-75.509682:1.0
39.693748,-75.515266:39.696781,-75.514:1.0
39.707111,-75.510406:39.707119,-75.510422:1.0
39.707119,-75.510422:39.70713,-75.510429:1.0
39.707119,-75.510727:39.707211,-75.510803:1.0
39.66259,-75.536797:39.6605,-75.5392:1.0
39.798759,-75.416039:39.798771,-75.416122:1.0
39.798759,-75.425949:39.798981,-75.425331:1.0
39.798759,-75.420937:39.798771,-75.420937:1.0
39.798759,-75.421013:39.798752,-75.421013:1.0
39.798752,-75.428886:39.797138,-75.432327:1.0
39.798752,-75.421013:39.798752,-75.421043:1.0
39.798752,-75.41935:39.798969,-75.417381:1.0
39.798752,-75.421043:39.798859,-75.421112:1.0
39.798752,-75.428543:39.798592,-75.428993:1.0
39.798752,-75.42878:39.798981,-75.428284:1.0
39.798752,-75.428436:39.79892,-75.428123:1.0
39.798752,-75.416451:39.79866,-75.416603:1.0
39.810612,-75.401421:39.81023,-75.402046:1.0
39.810612,-75.388588:39.811272,-75.388397:1.0
39.810612,-75.388634:39.810612,-75.388634:0.6
39.810612,-75.388634:39.810619,-75.388641:0.2
39.810612,-75.388634:39.810619,-75.388611:0.2
39.810612,-75.402473:39.812592,-75.39904:1.0
39.810612,-75.391586:39.810581,-75.391586:0.333333333333
39.810612,-75.391586:39.810612,-75.391586:0.666666666667
39.810612,-75.396027:39.810619,-75.396027:1.0
39.810612,-75.396004:39.810619,-75.396011:1.0
39.810612,-75.391472:39.81057,-75.391457:1.0
39.810612,-75.404091:39.811459,-75.402443:1.0
39.810612,-75.391617:39.810612,-75.391617:0.5
39.810612,-75.391617:39.8106,-75.391632:0.5
39.810612,-75.39698:39.8106,-75.397003:1.0
39.810612,-75.388649:39.810612,-75.388649:0.666666666667
39.810612,-75.388649:39.810619,-75.388634:0.333333333333
39.810612,-75.388641:39.810612,-75.388641:0.5
39.810612,-75.388641:39.810612,-75.388634:0.5
39.810612,-75.40358:39.81078,-75.403221:1.0
39.810612,-75.407784:39.793049,-75.441628:1.0
39.810612,-75.400543:39.810551,-75.400642:1.0
39.810612,-75.400284:39.81044,-75.400467:1.0
39.810612,-75.403976:39.810829,-75.40358:1.0
39.810612,-75.396133:39.810619,-75.396118:1.0
39.810612,-75.396072:39.810612,-75.39608:1.0
39.810612,-75.39608:39.8106,-75.396111:1.0
39.810612,-75.395508:39.81057,-75.395569:1.0
39.810612,-75.40461:39.81007,-75.405617:1.0
39.776501,-75.465424:39.777451,-75.464577:1.0
39.776501,-75.465843:39.776829,-75.4655:1.0
39.776501,-75.465332:39.779671,-75.462334:0.5
39.776501,-75.465332:39.775829,-75.466003:0.5
39.776508,-75.46608:39.775551,-75.466972:1.0
39.66782,-75.529701:39.668789,-75.52858:1.0
39.70903,-75.51255:39.709049,-75.512543:1.0
39.70903,-75.512543:39.70903,-75.512581:1.0
39.70903,-75.512459:39.70908,-75.51255:1.0
39.70903,-75.512581:39.709061,-75.512573:1.0
