40.04657,-74.977654:40.0462,-74.978287:1.0
40.04657,-74.977783:40.04681,-74.977364:1.0
40.018478,-75.024094:40.01823,-75.025352:1.0
40.018478,-75.024368:40.018349,-75.024849:1.0
40.018478,-75.0224:40.01833,-75.023102:1.0
40.018478,-75.024117:40.0186,-75.02343:1.0
40.018478,-75.024002:40.018349,-75.024437:1.0
40.018478,-75.022186:40.0187,-75.021477:1.0
40.018478,-75.023407:40.01865,-75.022774:1.0
40.06543,-74.940086:40.065269,-74.94043:1.0
40.06543,-74.94075:40.065201,-74.941269:1.0
40.01017,-75.045174:40.009998,-75.04567:1.0
40.01017,-75.046707:40.010361,-75.046227:1.0
40.01017,-75.046288:40.009979,-75.0467:1.0
40.01017,-75.04567:40.01033,-75.045174:1.0
40.01012,-75.0485:40.010052,-75.048599:1.0
40.01012,-75.046432:40.00985,-75.047157:1.0
40.01012,-75.046204:40.010311,-75.045738:1.0
40.026501,-75.003998:40.026001,-75.004333:1.0
40.026501,-75.004593:40.025871,-75.005318:1.0
40.026501,-75.003723:40.026169,-75.004066:1.0
40.026501,-75.003326:40.027,-75.002831:1.0
40.071789,-74.909508:40.07338,-74.903381:1.0
40.027241,-75.004173:40.026859,-75.004639:1.0
40.027241,-75.003807:40.02779,-75.003143:1.0
40.027241,-75.003517:40.027531,-75.003151:1.0
40.052021,-74.968643:40.051441,-74.969643:1.0
40.052021,-74.968277:40.052299,-74.967796:1.0
40.052021,-74.968201:40.0518,-74.968567:1.0
40.052021,-74.968086:40.05228,-74.967499:1.0
40.052021,-74.968697:40.05233,-74.96817:1.0
40.027248,-75.00338:40.026989,-75.003731:1.0
40.027248,-75.003464:40.030128,-75.000099:1.0
40.027248,-75.003906:40.02755,-75.003532:1.0
40.11021,-74.831947:40.110222,-74.83194:1.0
40.096859,-74.847313:40.096432,-74.848373:1.0
40.00655,-75.052757:40.006962,-75.052277:1.0
40.00655,-75.052803:40.006248,-75.053223:1.0
40.00655,-75.053596:40.00618,-75.053963:1.0
40.054749,-74.963676:40.054451,-74.964203:1.0
40.054749,-74.963753:40.054199,-74.964607:1.0
40.054749,-74.96376:40.05423,-74.964653:1.0
40.054749,-74.963203:40.055031,-74.9627:1.0
40.064301,-74.942574:40.064129,-74.942917:1.0
40.0359,-74.993393:40.036221,-74.993027:1.0
40.0359,-74.993607:40.03635,-74.993057:1.0
40.0355,-74.993843:40.034168,-74.995552:1.0
40.0355,-74.994102:40.0359,-74.993607:1.0
40.0354,-74.993896:40.035172,-74.994164:1.0
40.0354,-74.993721:40.034939,-74.994301:1.0
40.02655,-75.004898:40.026199,-75.005318:1.0
40.02655,-75.004387:40.026299,-75.004677:1.0
40.02652,-75.004601:40.026119,-75.005081:1.0
40.02652,-75.004211:40.026749,-75.003922:1.0
40.070229,-74.928421:40.07024,-74.928307:1.0
40.070229,-74.929367:40.070011,-74.930099:1.0
40.070221,-74.928307:40.070122,-74.92868:1.0
40.070221,-74.927818:40.070419,-74.926811:1.0
40.070221,-74.925102:40.070251,-74.924744:1.0
40.045238,-74.97966:40.045509,-74.979233:1.0
40.030281,-75.000061:40.0256,-75.005318:1.0
40.03307,-74.997124:40.033371,-74.996773:1.0
40.03307,-74.99691:40.033451,-74.996498:1.0
40.035,-74.993668:40.0345,-74.994164:1.0
40.035,-74.994469:40.03537,-74.994019:1.0
40.035,-74.993347:40.035431,-74.99292:1.0
40.034,-74.995331:40.0345,-74.994827:1.0
40.034,-74.995972:40.03434,-74.995529:1.0
40.034,-74.995552:40.03363,-74.995956:1.0
40.034,-74.995918:40.033649,-74.9963:1.0
40.031429,-74.998657:40.03054,-74.99968:1.0
40.002762,-75.056488:40.002861,-75.056458:1.0
40.002762,-75.056747:40.003448,-75.056297:1.0
40.002769,-75.056824:40.003109,-75.056541:1.0
40.002769,-75.05648:40.00301,-75.056221:1.0
40.031422,-74.999107:40.031731,-74.998734:1.0
40.071571,-74.910027:40.071671,-74.909538:1.0
40.07608,-74.894287:40.117901,-74.830307:1.0
40.07608,-74.893097:40.076328,-74.892174:1.0
40.103001,-74.836998:40.102169,-74.837669:1.0
40.041939,-74.985451:40.042259,-74.984894:1.0
40.041939,-74.984581:40.041401,-74.985443:1.0
40.041931,-74.985023:40.041569,-74.985603:1.0
40.041931,-74.985657:40.042221,-74.985184:1.0
40.021198,-75.014397:40.02095,-75.015068:1.0
40.021198,-75.014359:40.021061,-75.014816:1.0
40.021198,-75.01255:40.021351,-75.011993:1.0
40.021198,-75.014236:40.02095,-75.015099:1.0
40.037819,-74.990532:40.03817,-74.990089:1.0
40.037819,-74.991478:40.038139,-74.991112:1.0
40.037819,-74.991043:40.03738,-74.991524:1.0
40.079151,-74.879601:40.079231,-74.87912:1.0
40.074791,-74.897797:40.074631,-74.898369:1.0
40.074799,-74.89875:40.074982,-74.898033:1.0
40.044418,-74.980827:40.044628,-74.980438:1.0
40.048569,-74.974136:40.048,-74.975166:1.0
40.059189,-74.954453:40.058941,-74.955116:1.0
40.00518,-75.054718:40.004902,-75.054947:1.0
40.00515,-75.05558:40.005341,-75.055473:1.0
40.00515,-75.055199:40.00547,-75.054893:1.0
40.056499,-74.959503:40.056332,-74.959999:1.0
40.056499,-74.959534:40.056728,-74.959068:1.0
40.056499,-74.959999:40.056671,-74.959503:1.0
40.056499,-74.960701:40.056171,-74.96138:1.0
40.056492,-74.960274:40.05621,-74.960762:1.0
40.056492,-74.96003:40.056721,-74.959534:1.0
40.0653,-74.94014:40.065041,-74.940727:1.0
40.0658,-74.939148:40.066021,-74.938606:1.0
40.003159,-75.05661:40.002689,-75.056938:1.0
40.003159,-75.056442:40.002789,-75.056633:1.0
40.003151,-75.056229:40.002781,-75.056473:1.0
40.003151,-75.056503:40.00272,-75.056824:1.0
40.003151,-75.055603:40.002899,-75.05587:1.0
40.003151,-75.056122:40.00346,-75.055817:1.0
40.110001,-74.832024:40.110031,-74.832008:1.0
40.038952,-74.989922:40.03857,-74.990387:1.0
40.038952,-74.989777:40.039299,-74.989326:1.0
40.038952,-74.989548:40.038719,-74.989853:1.0
40.013241,-75.039124:40.012421,-75.040863:1.0
40.013248,-75.038239:40.012989,-75.038803:1.0
40.013248,-75.039398:40.013081,-75.039841:1.0
40.013248,-75.040863:40.013081,-75.041397:1.0
40.013248,-75.039131:40.013069,-75.039574:1.0
40.068489,-74.93116:40.06834,-74.931976:1.0
40.002209,-75.05703:40.00248,-75.056892:1.0
40.002201,-75.057053:40.001781,-75.057373:1.0
40.002201,-75.057098:40.00275,-75.056717:1.0
40.002201,-75.056793:40.00172,-75.05706:1.0
40.012371,-75.044472:40.01255,-75.043991:1.0
40.012371,-75.044487:40.01215,-75.044868:1.0
40.012371,-75.04332:40.012539,-75.042801:1.0
40.012371,-75.040909:40.012138,-75.041496:1.0
40.116348,-74.830673:40.117809,-74.830147:1.0
40.063709,-74.943497:40.063931,-74.943024:1.0
40.063709,-74.944672:40.06411,-74.943871:1.0
40.063709,-74.943817:40.063492,-74.944366:1.0
40.063702,-74.94339:40.06395,-74.942848:1.0
40.052559,-74.966751:40.05228,-74.967163:1.0
40.052559,-74.967323:40.05286,-74.966789:1.0
40.052559,-74.9674:40.053101,-74.966476:1.0
40.052551,-74.966797:40.053028,-74.965927:1.0
40.052551,-74.967201:40.05228,-74.967667:1.0
40.052551,-74.967598:40.052319,-74.967972:1.0
40.052551,-74.967613:40.05228,-74.968102:1.0
40.05827,-74.956291:40.05777,-74.957481:1.0
40.05827,-74.956703:40.058071,-74.957123:1.0
40.05827,-74.95575:40.058601,-74.955048:1.0
40.05827,-74.956032:40.05793,-74.956749:1.0
40.05827,-74.956047:40.057999,-74.956543:1.0
40.05827,-74.956627:40.05862,-74.955566:1.0
40.05827,-74.955917:40.05875,-74.954842:1.0
40.05825,-74.957283:40.05798,-74.957977:1.0
40.05822,-74.955597:40.057991,-74.956123:1.0
40.05822,-74.956863:40.057991,-74.957397:1.0
40.05822,-74.95623:40.06123,-74.949623:1.0
40.010262,-75.04586:40.010052,-75.046333:1.0
40.010269,-75.045349:40.010441,-75.044991:1.0
40.010269,-75.046158:40.01004,-75.046562:1.0
40.010269,-75.047897:40.009918,-75.048431:1.0
40.010269,-75.046379:40.01059,-75.045593:1.0
40.012539,-75.042801:40.01265,-75.042374:1.0
40.012539,-75.043182:40.012379,-75.043694:1.0
40.012531,-75.039886:40.012218,-75.040947:1.0
40.012531,-75.040733:40.012611,-75.04055:1.0
40.011139,-75.045677:40.010899,-75.045952:1.0
